,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
INDV,40.0099983215332,66364672.35946655,1255,0.0,True,Indivior,Health Care,small
MGY,25.709999084472656,66320811.669921875,1255,0.0,True,"Magnolia Oil & Gas, Corp.",Energy,small
PARR,86.02999877929688,66119897.91870117,1255,0.0,True,"Par Pacific Holdings, Inc.",Energy,small
HWC,77.0,65733205.20248413,1255,0.0,True,Hancock Whitney,Financials,mid
BMI,134.35000610351562,65430981.67800903,1255,0.0,True,"Badger Meter, Inc.",Information Technology,small
MIR,14.979999542236328,65249636.7559433,1255,0.0,True,"Mirion Technologies, Inc.",Information Technology,small
RNG,55.619998931884766,65185526.80969238,1255,0.0,True,"RingCentral, Inc.",Information Technology,small
RSI,26.90999984741211,64981020.5039978,1255,0.0,True,"Rush Street Interactive, Inc.",Consumer Discretionary,small
LNC,45.61000061035156,64840952.30026245,1255,0.0,True,Lincoln Financial,Financials,small
SON,56.36000061035156,64598024.85046387,1255,0.0,True,Sonoco,Materials,mid
CNK,36.59000015258789,64587657.868385315,1255,0.0,True,"Cinemark Holdings, Inc.",Communication Services,small
RHI,37.79999923706055,63719948.68469238,1255,0.0,True,Robert Half,Industrials,small
BTU,21.31999969482422,63700922.216415405,1255,0.0,True,"Peabody Energy, Inc.",Energy,small
OLED,80.16000366210938,63689766.79992676,1255,0.0,True,Universal Display,Information Technology,mid
TTC,91.87000274658203,63424450.55847168,1255,0.0,True,Toro,Industrials,mid
CHH,111.48999786376953,63388631.57196045,1255,0.0,True,Choice Hotels,Consumer Discretionary,mid
ADT,7.639999866485596,63242349.351119995,1255,0.0,True,ADT Inc.,Consumer Discretionary,small
LGND,287.5400085449219,63143932.34100342,1255,0.0,True,"Ligand Pharmaceuticals, Inc.",Health Care,small
BOX,31.549999237060547,63141118.32733154,1255,0.0,True,"Box, Inc.",Information Technology,small
MAC,25.84000015258789,63075167.91725159,1255,0.0,True,Macerich,Real Estate,small
JXN,122.27999877929688,62851640.786743164,1233,0.0,True,"Jackson Financial, Inc.",Financials,small
FOX,51.939998626708984,62783672.16491699,1255,0.0,True,Fox Corporation (Class B),Communication Services,large
JBTM,138.47000122070312,62754604.553222656,1255,0.0,True,JBT Marel Corporation,Industrials,small
GXO,50.15999984741211,62725694.50683594,1255,0.0,True,GXO Logistics,Industrials,mid
FOUR,53.0,62553329.92782593,1255,0.0,True,Shift4,Financials,mid
AROC,35.7599983215332,62248681.549072266,1255,0.0,True,"Archrock, Inc.",Energy,small
CBSH,59.27000045776367,62200994.22569275,1255,0.0,True,Commerce Bancshares,Financials,mid
OGE,47.349998474121094,62082855.94825745,1255,0.0,True,OGE Energy,Utilities,mid
